episode,step,id_sat,visilbiltys,connexions,completed,completed_reward,aquisition_loss,requests_loss
2,0,329,1,0,0,0,0,0
2,1,257,2,0,0,0,0,0
2,2,334,1,0,0,0,0,0
2,3,277,2,0,0,0,0,0
2,4,287,2,0,0,0,0,0
2,5,268,1,0,0,0,0,0
2,6,309,2,0,0,0,0,0
2,7,335,2,0,0,0,0,0
2,8,341,2,0,0,0,0,0
2,9,291,2,0,0,0,0,0
2,10,308,2,0,0,0,0,0
2,11,303,2,0,0,0,0,0
2,12,244,1,0,0,0,0,0
2,13,246,2,0,0,0,0,0
2,14,246,2,0,0,0,0,0
2,15,246,2,0,0,0,0,0
2,16,295,1,0,0,0,0,0
2,17,295,1,0,0,0,0,0
2,18,295,1,0,0,0,0,0
2,19,316,3,0,0,0,0,0
2,20,316,3,0,0,0,0,0
2,21,316,3,0,0,0,0,0
2,22,354,3,0,0,0,0,0
2,23,260,2,0,0,0,0,0
2,24,319,3,0,0,0,0,0
2,25,331,3,0,0,0,0,0
2,26,332,1,0,0,0,0,0
2,27,331,4,0,0,0,0,0
2,28,278,1,0,0,0,0,0
2,29,278,1,0,0,0,0,0
2,30,247,1,0,0,0,0,0
2,31,263,1,0,0,0,0,0
2,32,269,3,0,0,0,0,0
2,33,359,1,0,0,0,0,0
2,34,247,1,0,0,0,0,0
2,35,346,1,0,0,0,0,0
2,36,346,1,0,0,0,0,0
2,37,256,4,0,0,0,0,0
2,38,256,4,0,0,0,0,0
2,39,336,2,0,0,0,0,0
2,40,353,3,0,0,0,0,0
2,41,280,2,0,0,0,0,0
2,42,334,2,1,1,3,0,0
2,43,264,4,0,0,0,0,0
2,44,334,2,1,1,3,0,0
2,45,303,4,1,1,3,0,0
2,46,264,5,0,0,0,0,0
2,47,253,5,0,0,0,0,0
2,48,284,2,0,0,0,0,0
2,49,284,2,0,0,0,0,0
2,50,284,2,0,0,0,0,0
2,51,284,2,0,0,0,0,0
2,52,281,1,0,0,0,0,0
2,53,316,4,1,1,4,0,0
2,54,316,4,1,1,4,0,0
2,55,289,2,0,0,0,0,0
2,56,289,2,0,0,0,0,0
2,57,289,2,0,0,0,0,0
2,58,287,3,1,1,2,0,0
2,59,289,2,0,0,0,0,0
2,60,287,3,1,1,2,0,0
2,61,289,2,0,0,0,0,0
2,62,287,3,1,1,2,0,0
2,63,287,3,1,1,2,0,0
2,64,287,3,1,1,2,0,0
2,65,288,2,0,0,0,0,0
2,66,290,1,0,0,0,0,0
2,67,358,3,0,0,0,0,0
2,68,358,3,0,0,0,0,0
2,69,338,1,0,0,0,0,0
2,70,240,1,0,0,0,0,0
2,71,345,1,0,0,0,0,0
2,72,291,5,1,1,2,0,0
2,73,318,1,0,0,0,0,0
2,74,327,3,0,0,0,0,0
2,75,312,4,0,0,0,0,0
2,76,327,3,0,0,0,0,0
2,77,327,3,0,0,0,0,0
2,78,304,2,0,0,0,0,0
2,79,327,3,0,0,0,0,0
2,80,304,2,0,0,0,0,0
2,81,302,2,0,0,0,0,0
2,82,338,2,1,1,3,0,0
2,83,241,6,0,0,0,0,0
2,84,252,1,0,0,0,0,0
2,85,278,3,1,1,2,0,0
2,86,261,2,0,0,0,0,0
2,87,278,3,1,1,2,0,0
2,88,254,4,0,0,0,0,0
2,89,254,4,0,0,0,0,0
2,90,254,4,0,0,0,0,0
2,91,352,1,0,0,0,0,0
2,92,352,1,0,0,0,0,0
2,93,301,2,0,0,0,0,0
2,94,334,4,2,2,7,0,0
2,95,315,1,0,0,0,0,0
2,96,326,2,0,0,0,0,0
2,97,251,2,0,0,0,0,0
2,98,267,4,0,0,0,0,0
2,99,311,1,0,0,0,0,0
2,100,320,3,0,0,0,0,0
2,101,324,3,0,0,0,0,0
2,102,256,5,1,1,3,0,0
2,103,267,4,0,0,0,0,0
2,104,311,1,0,0,0,0,0
2,105,320,3,0,0,0,0,0
2,106,324,3,0,0,0,0,0
2,107,256,5,1,1,3,0,0
2,108,307,2,0,0,0,0,0
2,109,256,5,1,1,3,0,0
2,110,256,5,1,1,3,0,0
2,111,356,1,0,0,0,0,0
2,112,279,2,0,0,0,0,0
2,113,270,1,0,0,0,0,0
2,114,354,4,1,1,4,0,0
2,115,327,4,1,1,2,0,0
2,116,274,2,0,0,0,0,0
2,117,327,4,1,1,2,0,0
2,118,342,2,0,0,0,0,0
2,119,351,2,0,0,0,0,0
2,120,247,2,1,1,4,0,0
2,121,247,2,1,1,4,0,0
2,122,247,2,1,1,4,0,0
2,123,247,2,1,1,4,0,0
2,124,263,2,1,1,1,0,0
