episode,step,id_sat,visilbiltys,connexions,completed,completed_reward,aquisition_loss,requests_loss
2,0,263,1,0,0,0,0,0
2,1,263,1,0,0,0,0,0
2,2,324,2,0,0,0,0,0
2,3,263,1,0,0,0,0,0
2,4,324,2,0,0,0,0,0
2,5,334,1,0,0,0,0,0
2,6,263,1,0,0,0,0,0
2,7,324,2,0,0,0,0,0
2,8,334,1,0,0,0,0,0
2,9,324,2,0,0,0,0,0
2,10,334,1,0,0,0,0,0
2,11,304,2,0,0,0,0,0
2,12,324,2,0,0,0,0,0
2,13,334,1,0,0,0,0,0
2,14,266,3,0,0,0,0,0
2,15,269,1,0,0,0,0,0
2,16,334,1,0,0,0,0,0
2,17,334,1,0,0,0,0,0
2,18,290,1,0,0,0,0,0
2,19,334,1,0,0,0,0,0
2,20,290,1,0,0,0,0,0
2,21,312,1,0,0,0,0,0
2,22,312,1,0,0,0,0,0
2,23,312,1,0,0,0,0,0
2,24,330,2,0,0,0,0,0
2,25,288,2,0,0,0,0,0
2,26,312,1,0,0,0,0,0
2,27,330,2,0,0,0,0,0
2,28,288,2,0,0,0,0,0
2,29,312,1,0,0,0,0,0
2,30,330,2,0,0,0,0,0
2,31,288,2,0,0,0,0,0
2,32,288,2,0,0,0,0,0
2,33,267,4,0,0,0,0,0
2,34,289,4,0,0,0,0,0
2,35,289,4,0,0,0,0,0
2,36,330,3,0,0,0,0,0
2,37,244,1,0,0,0,0,0
2,38,283,3,0,0,0,0,0
2,39,313,3,0,0,0,0,0
2,40,260,2,0,0,0,0,0
2,41,344,3,0,0,0,0,0
2,42,260,2,0,0,0,0,0
2,43,344,3,0,0,0,0,0
2,44,260,2,0,0,0,0,0
2,45,310,1,0,0,0,0,0
2,46,344,3,0,0,0,0,0
2,47,260,2,0,0,0,0,0
2,48,344,3,0,0,0,0,0
2,49,292,2,0,0,0,0,0
2,50,293,2,0,0,0,0,0
2,51,293,2,0,0,0,0,0
2,52,356,3,0,0,0,0,0
2,53,353,2,0,0,0,0,0
2,54,356,3,0,0,0,0,0
2,55,353,2,0,0,0,0,0
2,56,353,2,0,0,0,0,0
2,57,353,2,0,0,0,0,0
2,58,241,4,0,0,0,0,0
2,59,286,3,0,0,0,0,0
2,60,282,2,0,0,0,0,0
2,61,282,2,0,0,0,0,0
2,62,282,2,0,0,0,0,0
2,63,243,2,0,0,0,0,0
2,64,243,2,0,0,0,0,0
2,65,243,2,0,0,0,0,0
2,66,243,2,0,0,0,0,0
2,67,340,1,0,0,0,0,0
2,68,340,1,0,0,0,0,0
2,69,340,1,0,0,0,0,0
2,70,322,3,0,0,0,0,0
2,71,340,1,0,0,0,0,0
2,72,295,4,0,0,0,0,0
2,73,296,3,0,0,0,0,0
2,74,272,5,0,0,0,0,0
2,75,295,4,0,0,0,0,0
2,76,296,3,0,0,0,0,0
2,77,337,2,0,0,0,0,0
2,78,316,1,0,0,0,0,0
2,79,345,1,0,0,0,0,0
2,80,329,1,0,0,0,0,0
2,81,280,3,0,0,0,0,0
2,82,280,3,0,0,0,0,0
2,83,355,1,0,0,0,0,0
2,84,259,2,0,0,0,0,0
2,85,320,3,0,0,0,0,0
2,86,326,4,0,0,0,0,0
2,87,269,4,1,1,2,0,0
2,88,312,2,1,1,4,0,0
2,89,246,1,0,0,0,0,0
2,90,290,5,1,1,4,0,0
2,91,291,1,0,0,0,0,0
2,92,276,3,0,0,0,0,0
2,93,290,5,1,1,4,0,0
2,94,331,4,0,0,0,0,0
2,95,276,3,0,0,0,0,0
2,96,331,4,0,0,0,0,0
2,97,268,2,0,0,0,0,0
2,98,268,2,0,0,0,0,0
2,99,268,2,0,0,0,0,0
2,100,242,4,0,0,0,0,0
2,101,268,2,0,0,0,0,0
2,102,326,5,0,0,0,0,0
2,103,242,4,0,0,0,0,0
2,104,268,2,0,0,0,0,0
2,105,320,3,0,0,0,0,0
2,106,326,5,0,0,0,0,0
2,107,335,4,0,0,0,0,0
2,108,268,2,0,0,0,0,0
2,109,320,3,0,0,0,0,0
2,110,335,4,0,0,0,0,0
2,111,253,3,0,0,0,0,0
2,112,268,2,0,0,0,0,0
2,113,320,3,0,0,0,0,0
2,114,335,4,0,0,0,0,0
2,115,263,2,1,1,4,0,0
2,116,263,2,1,1,4,0,0
2,117,353,3,1,1,1,0,0
2,118,296,4,0,0,0,0,0
2,119,320,3,0,0,0,0,0
2,120,285,1,0,0,0,0,0
2,121,285,1,0,0,0,0,0
2,122,331,4,1,1,3,0,0
2,123,271,1,0,0,0,0,0
2,124,279,2,0,0,0,0,0
2,125,279,2,0,0,0,0,0
2,126,279,2,0,0,0,0,0
2,127,256,2,0,0,0,0,0
2,128,279,2,0,0,0,0,0
2,129,325,1,0,0,0,0,0
2,130,251,1,0,0,0,0,0
2,131,298,1,0,0,0,0,0
2,132,325,1,0,0,0,0,0
2,133,297,2,0,0,0,0,0
2,134,325,1,0,0,0,0,0
2,135,297,2,0,0,0,0,0
2,136,325,1,0,0,0,0,0
2,137,325,1,0,0,0,0,0
2,138,326,5,0,0,0,0,0
2,139,344,4,1,1,1,0,0
2,140,326,5,0,0,0,0,0
2,141,344,4,1,1,1,0,0
2,142,332,2,0,0,0,0,0
2,143,332,2,0,0,0,0,0
2,144,278,2,0,0,0,0,0
2,145,261,1,0,0,0,0,0
2,146,344,5,1,1,1,0,0
2,147,345,1,0,0,0,0,0
2,148,354,1,0,0,0,0,0
2,149,259,3,1,1,4,0,0
2,150,339,1,0,0,0,0,0
2,151,356,6,1,1,4,0,0
2,152,356,6,1,1,4,0,0
2,153,294,2,0,0,0,0,0
2,154,294,2,0,0,0,0,0
2,155,254,2,0,0,0,0,0
2,156,275,2,0,0,0,0,0
2,157,294,2,0,0,0,0,0
2,158,347,2,0,0,0,0,0
2,159,254,2,0,0,0,0,0
2,160,275,2,0,0,0,0,0
2,161,294,2,0,0,0,0,0
2,162,316,2,1,1,1,0,0
2,163,254,2,0,0,0,0,0
2,164,294,2,0,0,0,0,0
2,165,316,2,1,1,1,0,0
2,166,302,2,0,0,0,0,0
2,167,321,2,0,0,0,0,0
2,168,287,2,0,0,0,0,0
2,169,302,2,0,0,0,0,0
2,170,321,2,0,0,0,0,0
2,171,287,2,0,0,0,0,0
2,172,306,2,0,0,0,0,0
2,173,284,2,0,0,0,0,0
2,174,306,2,0,0,0,0,0
2,175,322,5,1,1,4,0,0
2,176,266,5,1,1,4,0,0
2,177,276,5,1,1,3,0,0
2,178,283,6,1,1,3,0,0
2,179,284,2,0,0,0,0,0
2,180,320,4,1,1,4,0,0
2,181,322,5,1,1,4,0,0
2,182,330,5,1,1,4,0,0
2,183,282,3,1,1,1,0,0
2,184,277,1,0,0,0,0,0
2,185,282,3,1,1,1,0,0
2,186,277,1,0,0,0,0,0
2,187,282,3,1,1,1,0,0
2,188,251,1,1,1,4,0,0
2,189,258,2,0,0,0,0,0
2,190,299,2,0,0,0,0,0
2,191,299,2,0,0,0,0,0
2,192,297,3,1,1,3,0,0
2,193,263,4,2,2,6,0,0
2,194,315,1,0,0,0,0,0
2,195,269,5,1,1,2,0,0
2,196,251,1,1,2,6,0,0
2,197,298,3,1,1,1,0,0
2,198,320,4,1,1,4,0,0
2,199,330,5,1,1,4,0,0
2,200,335,5,1,1,1,0,0
2,201,276,6,2,2,5,0,0
2,202,298,3,1,1,1,0,0
2,203,320,4,1,1,4,0,0
2,204,330,5,1,1,4,0,0
2,205,335,5,1,1,1,0,0
2,206,251,2,1,2,6,0,0
2,207,276,6,2,2,5,0,0
2,208,298,3,1,1,1,0,0
2,209,293,3,1,1,4,0,0
2,210,293,3,1,1,4,0,0
2,211,293,3,1,1,4,0,0
2,212,305,2,0,0,0,0,0
2,213,320,4,2,2,5,0,0
2,214,305,2,0,0,0,0,0
2,215,331,7,1,2,4,0,0
2,216,305,2,0,0,0,0,0
2,217,294,2,0,0,0,0,0
2,218,353,4,2,2,3,0,0
2,219,329,2,1,1,2,0,0
2,220,327,4,0,0,0,0,0
2,221,327,4,0,0,0,0,0
2,222,327,4,0,0,0,0,0
2,223,348,1,0,0,0,0,0
2,224,257,1,0,0,0,0,0
2,225,257,1,0,0,0,0,0
2,226,257,1,0,0,0,0,0
2,227,321,2,0,0,0,0,0
2,228,270,2,0,0,0,0,0
2,229,281,3,0,0,0,0,0
2,230,355,3,1,1,2,0,0
2,231,355,3,1,1,2,0,0
2,232,355,3,1,1,2,0,0
2,233,355,3,1,1,2,0,0
2,234,250,3,0,0,0,0,0
2,235,297,4,2,2,4,0,0
2,236,350,2,0,0,0,0,0
2,237,350,2,0,0,0,0,0
2,238,245,1,0,0,0,0,0
2,239,282,5,2,2,2,0,0
2,240,282,5,2,2,2,0,0
2,241,311,2,0,0,0,0,0
2,242,311,2,0,0,0,0,0
2,243,311,2,0,0,0,0,0
2,244,336,1,0,0,0,0,0
2,245,352,1,0,0,0,0,0
2,246,358,1,0,0,0,0,0
2,247,301,2,0,0,0,0,0
2,248,301,2,0,0,0,0,0
2,249,340,4,1,1,3,0,0
2,250,301,2,0,0,0,0,0
2,251,340,4,1,1,3,0,0
2,252,301,2,0,0,0,0,0
2,253,358,1,0,0,0,0,0
2,254,358,1,0,0,0,0,0
2,255,349,1,0,0,0,0,0
2,256,345,2,1,1,3,0,0
2,257,345,2,1,1,3,0,0
2,258,345,2,1,1,3,0,0
2,259,297,5,3,3,5,0,0
2,260,297,5,3,3,5,0,0
2,261,297,5,3,3,5,0,0
2,262,242,6,1,1,4,0,0
2,263,259,5,2,2,7,0,0
2,264,295,6,1,1,4,0,0
2,265,296,5,1,1,3,0,0
2,266,326,7,1,1,1,0,0
2,267,344,6,2,2,4,0,0
2,268,269,6,2,2,6,0,0
2,269,256,3,1,1,3,0,0
2,270,256,3,1,1,3,0,0
2,271,284,3,1,1,3,0,0
2,272,284,3,1,1,3,0,0
2,273,354,2,1,1,4,0,0
2,274,299,3,1,1,3,0,0
2,275,354,2,1,1,4,0,0
2,276,354,2,1,1,4,0,0
2,277,354,2,1,1,4,0,0
2,278,278,3,1,1,3,0,0
2,279,260,4,1,1,4,0,0
2,280,295,6,2,2,6,0,0
2,281,326,7,2,2,4,0,0
2,282,344,6,2,2,4,0,0
2,283,266,7,1,1,4,0,0
2,284,338,1,0,0,0,0,0
2,285,344,6,2,2,4,0,0
2,286,244,3,1,1,1,0,0
2,287,244,3,1,1,1,0,0
2,288,244,3,1,1,1,0,0
2,289,295,8,2,2,6,0,0
2,290,285,2,1,1,1,0,0
2,291,285,2,1,1,1,0,0
2,292,290,6,2,2,7,0,0
2,293,303,1,0,0,0,0,0
2,294,304,5,1,1,2,0,0
2,295,285,2,1,1,1,0,0
2,296,285,2,1,1,1,0,0
2,297,285,2,1,1,1,0,0
2,298,285,2,1,1,1,0,0
2,299,311,4,0,0,0,0,0
2,300,357,5,0,0,0,0,0
2,301,357,5,0,0,0,0,0
2,302,260,4,2,2,6,0,0
2,303,266,7,2,2,6,0,0
2,304,276,7,3,3,7,0,0
2,305,276,7,3,3,7,0,0
2,306,276,7,3,3,7,0,0
2,307,260,5,2,2,6,0,0
2,308,266,8,2,2,6,0,0
2,309,276,7,3,3,7,0,0
2,310,247,6,0,0,0,0,0
2,311,279,3,1,1,3,0,0
2,312,258,4,1,1,3,0,0
2,313,266,8,3,3,10,0,0
2,314,276,7,3,3,7,0,0
2,315,330,7,2,2,6,0,0
2,316,335,7,2,2,5,0,0
2,317,335,7,2,2,5,0,0
2,318,266,9,3,3,10,0,0
2,319,276,7,4,4,11,0,0
2,320,335,7,2,2,5,0,0
2,321,266,9,3,3,10,0,0
2,322,335,7,2,2,5,0,0
2,323,266,9,3,3,10,0,0
2,324,266,9,3,3,10,0,0
2,325,276,8,4,4,11,0,0
2,326,266,9,3,3,10,0,0
2,327,276,8,4,4,11,0,0
2,328,296,7,2,2,7,0,0
2,329,296,7,2,2,7,0,0
2,330,339,2,1,1,1,0,0
2,331,339,2,1,1,1,0,0
2,332,240,1,0,0,0,0,0
2,333,264,4,0,0,0,0,0
2,334,266,9,3,3,10,0,0
2,335,267,6,1,1,1,0,0
2,336,283,7,2,2,6,0,0
2,337,324,3,1,1,4,0,0
2,338,267,6,1,1,1,0,0
2,339,324,3,1,1,4,0,0
2,340,292,3,1,1,3,0,0
2,341,293,4,2,2,7,0,0
2,342,253,4,1,1,2,0,0
2,343,286,5,1,1,1,0,0
2,344,290,6,3,3,11,0,0
2,345,242,8,2,2,8,0,0
2,346,253,4,1,1,2,0,0
2,347,289,6,1,1,3,0,0
2,348,290,6,3,4,14,0,0
2,349,264,4,0,0,0,0,0
2,350,283,7,2,2,6,0,0
2,351,320,6,2,3,6,0,0
2,352,323,1,0,0,0,0,0
2,353,331,9,2,3,8,0,0
2,354,254,5,1,1,1,0,0
2,355,240,1,1,1,4,0,0
2,356,259,6,3,3,10,0,0
2,357,259,6,3,3,10,0,0
2,358,259,6,3,3,10,0,0
2,359,240,2,1,1,4,0,0
2,360,351,2,0,0,0,0,0
2,361,351,2,0,0,0,0,0
2,362,356,7,2,2,7,0,0
2,363,263,5,3,3,9,0,0
2,364,264,4,0,0,0,0,0
2,365,320,6,2,3,6,0,0
2,366,331,9,2,3,8,0,0
2,367,356,7,2,2,7,0,0
2,368,313,8,1,1,2,0,0
2,369,313,8,1,1,2,0,0
2,370,304,6,2,2,6,0,0
2,371,304,6,2,2,6,0,0
2,372,241,7,1,1,2,0,0
2,373,272,7,1,1,4,0,0
2,374,280,4,1,1,3,0,0
2,375,244,4,2,2,5,0,0
2,376,267,7,2,2,5,0,0
2,377,269,7,3,3,7,0,0
2,378,269,7,3,3,7,0,0
2,379,328,5,0,0,0,0,0
2,380,346,1,0,0,0,0,0
2,381,348,2,1,1,3,0,0
2,382,348,2,1,1,3,0,0
2,383,247,7,1,1,4,0,0
2,384,257,2,1,1,4,0,0
2,385,274,1,0,0,0,0,0
2,386,279,4,1,1,3,0,0
2,387,315,2,1,1,1,0,0
2,388,324,4,1,1,4,0,0
2,389,341,4,0,0,0,0,0
2,390,348,2,1,1,3,0,0
2,391,241,7,1,1,2,0,0
2,392,243,4,1,1,1,0,0
2,393,259,7,3,3,10,0,0
2,394,260,8,3,3,8,0,0
2,395,272,7,2,2,8,0,0
2,396,289,6,1,1,3,0,0
2,397,315,2,1,1,1,0,0
2,398,334,4,1,1,3,0,0
2,399,348,2,1,1,3,0,0
2,400,325,2,1,1,4,0,0
2,401,272,8,2,2,8,0,0
2,402,325,2,1,1,4,0,0
2,403,275,3,1,1,4,0,0
2,404,286,6,2,2,5,0,0
2,405,290,7,3,5,16,0,0
2,406,303,2,1,1,2,0,0
2,407,275,3,1,1,4,0,0
2,408,286,6,2,2,5,0,0
2,409,290,7,3,5,16,0,0
2,410,303,2,1,1,2,0,0
2,411,241,7,2,2,4,0,0
2,412,278,5,2,2,5,0,0
2,413,299,5,2,2,7,0,0
2,414,278,5,2,2,5,0,0
2,415,299,5,2,2,7,0,0
